Reviews,Dates
Good product,5 September 2020
working as promised,4 September 2020
Good,4 September 2020
I am very happy with it.,4 September 2020
Good product,4 September 2020
Nice performance,4 September 2020
Stop working after 3 months of purchasing,4 September 2020
Good,4 September 2020
after using 1-month damage now,4 September 2020
Very nice products,3 September 2020
Nice product,3 September 2020
Verry terrible product can't use more than ten days now my induction in repair shop...plzz don't buy..,3 September 2020
Easy to use and clean with easy controls,3 September 2020
Very good quality. No need to thinking about prestige products.,3 September 2020
In first use it became function less....,3 September 2020
Worst product.. please don't waste money,3 September 2020
May be I have given it 5 star if it was delivered to me in right condition.Delivered to me broken,3 September 2020
Good product,2 September 2020
Super quality 👌Amazon delivery is superb,2 September 2020
Useful,1 September 2020
Its user friendly.....,1 September 2020
Recommended it after so long use.,1 September 2020
Not high quality.  But the product is definitely value for money,31 August 2020
"Its function and function are all good, there is no problem in using it and it works well, so buy only what you want to buy.",31 August 2020
Product Stopped working exactly 18 days after delivery.Because of the faulty product the fuse of the house blew,31 August 2020
I have been using the same model since 2015 and never faced any issue. Again order the same item from Amazon for family and broken product added it looks fake,30 August 2020
Not worth slow heating,30 August 2020
Nice product... Prestige products never let u down. Good for hostel students. ... Easy to use.... Easy to clean...,30 August 2020
There is no rubber stopper to hold this,30 August 2020
Good,30 August 2020
"I liked the product, it's working good its very easy to use & even also delivered very safely with proper packing without any damage. Thankyou Amazon.",30 August 2020
Very nice product with light weight..,29 August 2020
"The plastic which used to built the product is very poor i dont think it will survive till the end of this year.Prestige should focus on quality rather than manufacturing low price.Written on the box 📦 Made with pride in india - this is how we compete in global market, I m going to buy another product even if  i need to pay 💰 extra.",29 August 2020
I received second hand product that too not working at all.Just reorder the same to check again.,29 August 2020
Worst product. Initially everything was fine. Later it started to get switched off in between cooking after 2-3 days. Had to return it. Will not recommend others to use.,28 August 2020
Poor quality,28 August 2020
The product is not working condition please replace,28 August 2020
Reasonable price !! Works fantastic !! easy to handle and clean,27 August 2020
"easy to use, good quality go for it found this at rs 1700",27 August 2020
Baad quality damaged product,27 August 2020
"The product is very efficient. You can set the temperature as well as time. It takes limited space.  Most importantly, the wattage is reasonable for any household",26 August 2020
Short curcuit heppened  in 15 day of buy.,26 August 2020
The pack was open... No proper seal package doubt of genuine item,25 August 2020
"My product breakdown, I want to replace",25 August 2020
It's BROKEEE,25 August 2020
Easy to use,25 August 2020
As of date this purchase is worthy. The cook-top is as sophisticated and user friendly as a Prestige equipment to be. I will strongly recommend this product.,25 August 2020
Verry bad,25 August 2020
This is not good,25 August 2020
Pretty comfortable to handle and operate,25 August 2020
Best product,25 August 2020
"Bought on 3rd July and it stopped working today n all kitchen lights n fridge went out.. After elevating MCB, switched it on again n same thing happened.. Then connected my old induction n it was working fine",25 August 2020
Product is good as per priceOnly worth for moneyAfter 2 months main board failed.Service person came and collected.Spares not available at service center.Waiting from 2months .Very bad service .,25 August 2020
Good produt,25 August 2020
"They claim extended cooling technology - but forgot to install an automatic cut-off.Essentially, the device comes with a built-in fan for cooling. I already have PIC 12 model in which, after the heating is done, the fan runs for about a minute or so and automatically switches off.But in PIC 20, it never switches off. They claim it is ""extended cooling technology"" and we need to wait another 5 to 10 minutes before switching off the device. Are they expecting us to use another TIMER to wait for 5 minutes?This is electronic-age, a simple timer they could have incorporated, if needed with a thermostat so as to turn off the fan at the right time.In short, I returned the item.",24 August 2020
my new induction .atomaticaly fused.electric item totaly wast of money..,23 August 2020
Hot plate broken.,23 August 2020
It's cost effective but malfunctions and shows error E2 often. Repairing takes a few days from prestige side if it is within warranty. For better long lasting quality you can get cooktop at double the price.,23 August 2020
Shape and Size,23 August 2020
Working product. Power cord length is short.Always showing error E0 even if utensils are placed on top. Need customer service number.,22 August 2020
Nice,22 August 2020
Just after 6 month showing error and not working,22 August 2020
Good product,22 August 2020
Such a horrible experience.  The hot plate present on the top of it suddenly broke after three months of use. It was obviously very risky for me and my family. Yaa it has warranty but no specific date and details are mentioned.  Please let me now how to replace or return it. It will be a great help for me.Thanks for disappointment.,22 August 2020
Worst performance and failed to heat pannel with in two months,22 August 2020
Worst product,22 August 2020
very good product,21 August 2020
This product is not good and not working please replace,21 August 2020
such a nice product,21 August 2020
I am using this. Its very light and compact. Never faced any issue. All is good except that its too light weight and easily slips if pushed.,21 August 2020
Amazing very nice 👍,20 August 2020
Build quality is satisfactory. Buttons are hard to press. Otherwise VFM cooktop,20 August 2020
Very nice very helpful,20 August 2020
Not Very sturdy. It's quite lightweight. Can go for If you want for limited use. Else invest some more & buy a better brand,20 August 2020
Faulty product Given by amazon,19 August 2020
Poor quality it is not work any function switch ON and OFF button only work so I decide to return seller.,19 August 2020
"This product is really good, so i have purchased again same brand same model after 2.5 years of uses.",19 August 2020
After using this product in a month time.The control panel and back side has been damage.Really very disappointed with prestige.,19 August 2020
I am using it feom past 2 years not faces any issue yet.,19 August 2020
"Dear  Amazon,I used this product hardly 4 to 5 times. But from last week it was not working.What is the procedure to avail warranty service.Please help.",18 August 2020
This is my first induction cooktop. But it was very easy to use. With the preset cooking buttons the job was very easy for a amateur like me. 1200w is powerful enough for boiling 1 ltr water in 2-3 minutes. Consumes 5A at max power so it can be easy used on domestic 5A socket.,18 August 2020
Not that good...Takes too much time for everything.,18 August 2020
"This is the 2nd time I’m purchasing the same model from prestige, which conked off.1st unit worked for more 1year then conked off.(warranty expired)2nd unit purchased in July month and it conked off within a month( under warranty). When you switch on, power trips in the whole house. Initially thought my power plugpoint may be a problem, but it wasn’t. I went to switch on using different plug points in the house, power trips every time we switch on.My question is on the quality of product, why is this unit failing so frequently. I even checked my wiring in house to see if power source has problem. But I found all power sources in house are all fine.Pls do publish my feedback to manufacturer so that they work on reliability & quality of products",18 August 2020
Easy to use,18 August 2020
Good product...,18 August 2020
Damaged and broken product received.,18 August 2020
Very good product easy to use,18 August 2020
Blast with in 2 months,17 August 2020
So far..so good..I hve used it..nice product,17 August 2020
It's very nice and thanks for being cooking,17 August 2020
Using this induction from Few days working is good.i will review in details after long use.,16 August 2020
Stopped working in 15 days,16 August 2020
Working fine after 1 year of heavy use.,16 August 2020
bought this product for 3rd time for different people. Always working as expected,16 August 2020
E01 error,16 August 2020
Not giving heat after using of 2 months .Want have guaranty card to repair from delar,16 August 2020
"It's a defective piece sent to us. All the functions does not work it gives error and under the booklet it is clearly mentioned if you get this error it needs to be taken to service center, which is far from my place and cannot be travelled during COVID. My question would be why a new product needs to be taken to a service center. I have been using induction for almost 10 years i have never come across any product as this. It wasted my time, money and energy.",15 August 2020
Excellent,15 August 2020
osm,15 August 2020
value for money awsome quality,14 August 2020
It is slippery...shd hv rubber on stand,14 August 2020
No timer setting button and no keep warm button. Who designed this device? Do humanity a favor and kindly fire that person/team right away.,14 August 2020
Pathetic Product... delivered By Amazon.This Doesn’t Work ... have Lots Of Issues.... it Doesn’t Even Starts Need A Refund...,13 August 2020
I did not received  Bill invoice and Warranty card,13 August 2020
The induction short circuited within a month.,13 August 2020
i m using this induction cooktop sunce i ordered in sept 2019...It is not working now and it is in warrnty period.What should i do now.Please repace this item.U have given me a defectes piece.It is stopped working many times.I want my money back or replace this item.,13 August 2020
Value for money,13 August 2020
Good product. I have ordered this during lockdown as backup for cooking gas.,13 August 2020
Liked it,12 August 2020
It worked 4month without issue. We took care welll but now not working. & No one is there to respond for given warranty.,12 August 2020
Nice,12 August 2020
The induction stove works well and is value for money.,12 August 2020
It is not working after 10 days.I am just fed up of this induction.And no help from amazon,12 August 2020
Itemreceived with damage.informedto return but no response even after 4days,12 August 2020
Easy to use since this is button system...Can buy at this price....,11 August 2020
Nice one induction stove. It's only working for plane surface not for curves utensils. Light weight. But electricity bill has increased 😆.,11 August 2020
"I have been using this for a week now and it's working fine best part was super delivery, I purchased it at pervious night and next day itself I got the delivery.",11 August 2020
Energy saving.,11 August 2020
Very good,11 August 2020
"Nice product, perfect for bachelors",11 August 2020
"I bought on 15th July & power isn't coming its error in control panel why? Please check onto this,I started first time bt it is not working🙄🙄",10 August 2020
Product is good and values for money.,10 August 2020
Best,10 August 2020
This product has already stopped working.Where can I have it repaired? Is there home repair service?,9 August 2020
Awesome,9 August 2020
Push buttons not working,9 August 2020
Wort product .. received broken not return pick up yet,9 August 2020
Value for money and esaly to useI love it,8 August 2020
"Great to buy, use to use, good product. Best in this price.",8 August 2020
Delivered in good condition.,8 August 2020
Very good product..🙂🙂🙂,7 August 2020
It is working perfectly alright.,7 August 2020
It is very good product for bachelors.,7 August 2020
Good product....,7 August 2020
Very light weight and good performance,7 August 2020
Nice,6 August 2020
It's been 10 months and it's still working fine. no problems,6 August 2020
"Bought 2, one is ok, but I think the second one is a fake product sent by Amazon....within a year the induction is of no use....is there any after sale service???",6 August 2020
This is the 2 one I m buying. Best product.,6 August 2020
Good product.,6 August 2020
Product also very good temperature control so easily make to just easy to clean very cooking and very safe must be thank for Amazon,5 August 2020
Easy to use and best temperature control.,5 August 2020
Dont buy it.,5 August 2020
On off button not working. Suddenly get off while cooking. Poor product.,5 August 2020
Product good... but dilvary very latee,5 August 2020
We received damaged product,5 August 2020
Using it since 2 years... amazing product,4 August 2020
Average,4 August 2020
You buy this,4 August 2020
It stopped working. It’s showing error E0 for all compatible vessels. Pls refund or replace it,4 August 2020
The induction We have recieved was broken...  I have no more time. I dont know what can I do.,3 August 2020
This mode overcome the previos model. One safety thing it has that while cooking or boiling water some drops are scattered on body which was damaging the product earlier but this product body so sleepary water can't stand on it thus extending its life.i am fully satisfied within product,3 August 2020
It's good.,3 August 2020
"Highly recommend , Using this for almost an year.And no problem whstsoever.",2 August 2020
Nice Product in such a small cost of 1600Satisfied,2 August 2020
Value for money,2 August 2020
Product is good till now,2 August 2020
Good as expected.,1 August 2020
It's fully damaged... I'm vry disappointed😞,1 August 2020
Good Product..,1 August 2020
Amazing induction,1 August 2020
Nice item,1 August 2020
"The product that I have bought has some technical issue in it,very very dissatisfied shopping from Amazon",31 July 2020
bad,31 July 2020
Like it.,31 July 2020
Good product for bachelor's....,31 July 2020
"it was working perfecly fine for 2 weeks. now it suddenly stopped working,, its not getting heated. BUY CHEAP BUY TWICE!!!!!",30 July 2020
Afte use of 2nd time it smell like something wiring is burning.,30 July 2020
Worst product ever by from amazon.... Stopped working after one day... Really disappointed to have such a pathetic product from prestige..,30 July 2020
Very nice product,30 July 2020
good product,30 July 2020
Good product,29 July 2020
This product fully damaged,29 July 2020
Temperature control,29 July 2020
Superb products,29 July 2020
Very good.. great for hostels and of course for house hold too..simple and easy and light weight..loved it .thanks Amazon,28 July 2020
Good one for indian use. Just go for it..,28 July 2020
The product failed working in two months. Please take back or give me the replacement. It creates short circuit and drips the supply.,28 July 2020
Got damaged product,28 July 2020
As I unpacked the delivered package the induction cook top inside of the package was completely broken.,28 July 2020
Bad experience. Started smelling of burnt rubber as soon as we were using it. Some cloth was found to be wrapped up inside the machine. Careful of purchasing online. Although I had the similar model few years back and it stayed reliable too. However returned it and purchased from another company.,28 July 2020
Good product,28 July 2020
Durable and trouble free. But the utencils given are of very poor quality.,28 July 2020
I ordered the induction. Packaging etc everything ok but when it opened matter of shock the inner plate of induction is completely broken.Received Broken and defected piece.Not expected such service anytime from Amazon.,28 July 2020
Good product,27 July 2020
Really bad experience with this product. First item was used and defective. So I asked for the replacement.  I've hardly replaced items from Amazon in the last 3-4 years but really disappointed to see that even the replacement unit has the exact same problem. Broken seal and screw inside the stove.,27 July 2020
Awesome,27 July 2020
"Its just been 2 days I have  been using the product, so far it seems OK, quite convenient to use.",27 July 2020
I liked the product and it's working fine for me.,27 July 2020
Good product at reasonable price. Value for money,27 July 2020
Good one,27 July 2020
Easy to place and use in hostel,27 July 2020
Within 3 months it stopped working.They take this for repair and next day again it is malfunctioning. Three times i have submitted but then also they are not able to correct the actual root cause.Very much disappointed with this brand.#NeverEverPrestige,26 July 2020
Very good product value for money I have even purchase it for my friend and family members very effective,26 July 2020
"Excellent product ,working is very good",26 July 2020
It is easy to use and operate too.,26 July 2020
It is not working after 15 days of use. Kindly send a service man for repair.,25 July 2020
Good 👍,25 July 2020
Easy to use,25 July 2020
It is easy to use satisfied with the product,25 July 2020
Good,25 July 2020
Best quality in marcket,24 July 2020
Value for money,24 July 2020
It's good,24 July 2020
First recieved a broken piece from the seller? Replaced with the new one 2 days later. Quality was good,24 July 2020
It's been only 5 months and it has encountered circuit issue leading to power down. Really not expected from a brand like Prestige!!,24 July 2020
"I purchased it and use only 20 days, not working, customer exectutive not send any salesman, poor service,",23 July 2020
Good product in this range,23 July 2020
Good product,23 July 2020
"it is not good, only one day correctly worked. threafter no fan sound. this items fan not working.. i think it is used old item. i feel very bad. only name is prestige. now it is in our store room. not use at all",23 July 2020
Awsome product,22 July 2020
Most useful,22 July 2020
Received a broken product. Totally disappointed.,22 July 2020
Perfect 👌👍 in all aspects. The brand is the best.,22 July 2020
After only 1 month it stop working due to short circuiting of the IC. IC failures which has caused power down of my house. its not reliable product and irritates with such frequent issues.Please don't buy! Now I can't return or replace as return window has been closed.,22 July 2020
Good product. Works fine!,22 July 2020
"Good product. But not for more than 4members of family ,it takes more time",22 July 2020
Great Money for value.,21 July 2020
The product stopped working as soon as rhe return or replacement date. Now we dont know what to do with the product. No proper amazon customer care assistance also available. There is no warrent card also.,21 July 2020
It was broken,21 July 2020
"Easy to control temperature, easy to use, nice product.Thank you",21 July 2020
"very disappointed with the seller.  The product received on time, but when I start to use it, i noticed that the fan which is located at the bottom of the induction was not working. Because of this reason, whenever I start to heat something, I always received E6 (over heated) within  a minute or two. Also I could smell a wire burning smell inside the induction.Not satisfied with the condition of the product, I have ordered a replacement item, hope this will not have any issues :)",21 July 2020
Very good product at reasonable price.Easy to use and easy to clean.,20 July 2020
Very nice product,20 July 2020
"Good product, easy to carry And electricity saver.",20 July 2020
Easy to use,20 July 2020
Worst,20 July 2020
Received with broken glass,20 July 2020
Overall operation and look is good.,20 July 2020
Best Product,20 July 2020
"The product is excellent. Initially, I was in two minds reading some negative comments, but I took a chance as Prestige is a reputed brand. On opening the product, I found it exactly as per the expectations. The heater was nicely packed and delivered on schedule. There were no issues with the packing / wiring of insulation or internal parts, as claimed by some buyers. Those may be isolated cases. The product has many push buttons customised for indian items, like pressure cooker, milk boiling, keeping food warm, deep frying etc. The heater has adjustable temperature/ power for customised heating. The product is light weight and has reasonably good workmanship. For those, who are in two minds, please go for this product. There may be other better products (which I have not tried), but definitely this product is worth the price.One more thing I would like to add here is that we need flat bottom SS utensils for heating on this induction heater. So if you do not already have them, please do order induction-compatible utensils/cookers.",20 July 2020
Continues cooking is not possible because on high temperature outer body plastic got melted,19 July 2020
Just started using it. So lets see how it fares.,19 July 2020
"I purchased this item, with in two day, it's not working, heat is not coming.",19 July 2020
This is good product for domestic use it is really a very helpful product,18 July 2020
No hitting,18 July 2020
Amazing product,18 July 2020
Best one,18 July 2020
good,18 July 2020
🙂,18 July 2020
Initially I got a defective.. and I opt for replacement ..then I got the good product... now I am afraid on the performance as initially disappointed with detective product....Need to check the performance in longrun to give complete review for the product and service..,18 July 2020
My brother is a student trapped in a room without kitchen in this lockdown. I bought it for him. He has been using it for the past 2 months almost. So far it seems good and convenient. Hope this continues. I would suggest that one can give it a try without hesitation.,18 July 2020
Very bad and damaged product,18 July 2020
"Once I did replacement as it was defective item, second time after returning period crossed it stopped functioning.  Very much dissatisfied.. money full in vain",17 July 2020
Very Good ...using for tea coffee and breakfast making,17 July 2020
It is so simple in use and it is totally safe,17 July 2020
It has just been two days started using it but very impressed with the quality and easy to use feature,17 July 2020
Mine is lil cracked now.though it's been one year and so far no problem with heating.,17 July 2020
👎,16 July 2020
It's been 1 month of using it. Can you take it and give it to someone else?,16 July 2020
Good,16 July 2020
The product is good and working fine under various cooking options.,16 July 2020
Nice,16 July 2020
"Its really good, easy to use very basic,  &enough..80 percent of my vessels suitable for this cooktop..iam super happy..",16 July 2020
Working well till date,16 July 2020
Customer service  I have call any time to damage body but care say about this product have problems with her body damage so use it's possition,15 July 2020
Plate was broken while cooking so it's under warranty I want to return,15 July 2020
i am very Happy,15 July 2020
Very poor quality,14 July 2020
Very good induction oven. Value for money product but requires induction base cookware. Can not use regular utensils.,14 July 2020
Nice,14 July 2020
Great buy- compact and good value for money,14 July 2020
Not good . I am disappointed with  this product,14 July 2020
Amozon Just make full to customer. Give waste products delivery and no return taken,14 July 2020
"Just after return period over it shows E03 problem. Then I repaired, and after 2 days gain a problem show that was E03. Finally I tired with its repair cost. Worst products prestige is not a good product now . It was.....",13 July 2020
Good product,13 July 2020
product is good as expected AND WORKING FINE,13 July 2020
It's is very easy to use and handy product.,13 July 2020
Excellent product from 2 years we using. Great product,12 July 2020
It's good,12 July 2020
The power 1200 watts is on the low side,12 July 2020
It's good in working also in quality....it's not wastage of money if you buy it....,12 July 2020
"I had another induction stove earlier, but that doesn't have milk boiling option.The other induction stove is a touch based one, and has better build quality than this one (bought it in 2011 and works flawlessly).Hoping this product stays long as well.",11 July 2020
Good product,11 July 2020
Good Cooktop In the Price Range. I like it.,11 July 2020
"Good product, time selection should be more easy",10 July 2020
Bad,9 July 2020
Super product,9 July 2020
Cheap plastic,9 July 2020
Waste product  I purchased it 2 months ago,8 July 2020
Yes,8 July 2020
Good,8 July 2020
Just go for it. It is an amazing induction which can be used for quick cooking. It has many modes which can be changed according to what you are cooking. The build quality could have been better and the length of the wire is too small. Otherwise it is perfect to use.,8 July 2020
Broken product received,8 July 2020
I think good product for saving gas cylinder.Many indian dishes can make in this cooktops.,7 July 2020
Best product and light 👌 weight easy carrying.,7 July 2020
Very bad expected in a company item,7 July 2020
It’s not working since the day it got delivered,6 July 2020
Bdiya he !!! 👍👍👍,6 July 2020
I got a damaged piece that does not work delivered,6 July 2020
Good product,6 July 2020
Excellent. Value for money,6 July 2020
Better,6 July 2020
Not working after 1 month. Pls advise how to replace?,6 July 2020
damaged product,6 July 2020
I bought it and got a faulty one customer Care people not helpful at all I wasted my money buying this,5 July 2020
Time saving and easy to use. Best quality.,5 July 2020
Works perfectly. Only you need understand the temperature regulation. Otherwise food gets overcooked.,5 July 2020
Good,5 July 2020
It's good product.,4 July 2020
Good product,4 July 2020
Very gud but buy 2000w in place of 12000w.,4 July 2020
package was open but its working fine,4 July 2020
Got 2 years old product,3 July 2020
The basetop of the induction cooker is broken.  Then how could we use it?,3 July 2020
"Overall Good till now, using since 3 weeks for basic Indian cooking.",2 July 2020
Tried using a couple of other induction stoves but this is the best I've ever bought.,2 July 2020
Amazon is trusted site one can order without any hustle or bustle 👍🏻👍🏻,2 July 2020
Stopped working exactly after 1 year. We had warranty of 1 year.Getting heated up n stops.Temperature control feature is not good.Not sure if manufacturer prepares it in a way to work only within warranty n stops thereafter.,2 July 2020
no one came to pick up the retrun item what to do,2 July 2020
"I ordered this on February 2020,it's only been 4 month of using,now it's showing EO ,while using induction friendly cook top",2 July 2020
Good,1 July 2020
Good productThanks to AmazonThanks to saler 'Capital sales'I write this review after 8 months of perches so you can understand it's quality and can trust on 'prestige'. 👆😆,1 July 2020
Cracked from all side,30 June 2020
Fully damaged product received,30 June 2020
"Sir ,I bought from Amazon,,,after one week,, some light smell coming from induction stove,,,then it not properly working,,,my amount totally wasted ,,prestige only name,,,otherwise total stupid product,,,",29 June 2020
The delivery was quick. It is a value for money product. The controls are easy.,29 June 2020
Really very good product,29 June 2020
Ok,29 June 2020
Lightweight but good build quality. Very easy to control temperature in any setting.,28 June 2020
"I recently ordered this induction cooktop from Amazon and I'm really happy with the experience. I made several dishes for my family with the help of this induction.  It is very easy to use- if you want to boil water you can simply press on the button ' keep warm' , if you want to fry anything you can press ' deep fry' button.  You can also control the temperature according to your need! I must say that cooking is made easy for me :)",28 June 2020
Easy to use,28 June 2020
It is easy to used but after using 22 days it's  cannot be work. Waste of Money & Time.,27 June 2020
INDUCTION HAS STOPPED WORKING,26 June 2020
Not easy to clean,26 June 2020
Blindly go for it,25 June 2020
"Nice product, easy to use.",25 June 2020
Daily beeb sound... Not work many times.,25 June 2020
Highly recommended,25 June 2020
Wonderful product and easy to operate. Loved it in everyway.,25 June 2020
Very good product,25 June 2020
"It started showing some troubles immediately on Day 2 of use.  I tried again and again ,but NOt fully satisfied with product.I asked a return, but delivery agent denied to accept the cooker back saying it was used.How can I understand that it was faulty without using it ?Stop recruiting fools as delivery agents .",25 June 2020
Quickly received 2 days before.Excellent product,25 June 2020
"Exactly ten days after the return window period, it stopped working..hhhuuuhhh.what a magic.. Now I can't return, can't use also... Going to garbage.. Leading brand product,, how could be,, waste of money.. Don't buy it..",25 June 2020
Very slow heating,25 June 2020
Excellent,24 June 2020
Power button damage,24 June 2020
It's a perfect cooking arrangement specially for tea and heating any liquid items like bengali fish curry etc. I recommend it.,24 June 2020
Very bad product.with in 1 month it does not work.,23 June 2020
"I am writing the review after using for 2 days rigorously. I didn't research much before buying, but this is my first induction oven and I am very happy after using it. It's very easy to operate, even my 7 years old daughter could make instant noodles on it. Food cooks really fast. So far so good, I am happy to cook full course meal with it.",22 June 2020
easy to use.. ane easy to clean.. good and very useful,22 June 2020
Nice product,22 June 2020
It is damaged internally.. it is fused only after 6 months,22 June 2020
I have ordered prestige pic 20.0 but received prestige pic 27.0 cooktop.received a another product very discounted.,22 June 2020
"This is protable and easy to use and easy to clean .you can easily control temperature . But after 1 year this product is not working when i put vessel on it then it shown that there is no vessel ,i dont know what is happen. Now i will call technician to check it.",22 June 2020
Worth buying,22 June 2020
Only show Watt not temperature,21 June 2020
Nice kitchen appliance . Works good . I daily make tea and heat tea in Induction chulha. It is with purchasing.,21 June 2020
